Row_ID,Kth_neighbor_distance,age,job,marital,education,default,balance,contact,day,month,duration,campaign,pdays,previous,poutcome,y,housing,loan
31774,3.496509847627315,35.0,blue-collar,married,secondary,no,2926,cellular,8,apr,182,1,292,25,failure,no,yes,no
44571,3.494532347470734,60.0,services,married,tertiary,no,3462,cellular,16,aug,239,3,761,1,other,yes,yes,no
36283,3.4921279673028423,55.0,management,divorced,tertiary,no,3462,cellular,11,may,175,5,333,19,other,no,yes,no
5722,3.4839423554075557,48.0,management,single,tertiary,no,145,unknown,26,may,14,38,-1,0,unknown,no,yes,no
43849,3.4792045283246193,51.0,management,married,tertiary,no,176,unknown,1,jun,8,1,687,2,failure,no,yes,yes
37249,3.472767018677124,47.0,management,divorced,tertiary,no,-49,cellular,13,may,14,6,327,23,failure,no,yes,no
44907,3.4711704898920974,32.0,management,single,tertiary,no,414,unknown,29,sep,21,1,680,5,failure,no,no,no
43053,3.4529156707388062,70.5,retired,married,primary,no,2590,telephone,15,feb,112,5,94,15,success,no,no,no
12937,3.4504061850481955,31.0,management,single,tertiary,no,1598,cellular,7,jul,36,33,-1,0,unknown,no,yes,no
43587,3.443176595263287,48.0,admin.,married,secondary,no,2533,cellular,29,apr,643,2,633,1,failure,no,no,no
12230,3.4266592372012283,25.0,services,single,secondary,no,3462,unknown,20,jun,16,28,-1,0,unknown,no,yes,no
43888,3.4212439997155975,59.0,management,married,tertiary,no,101,unknown,9,jun,29,1,686,2,failure,no,no,yes
11235,3.415416950999624,32.0,management,single,tertiary,no,3462,unknown,18,jun,248,29,-1,0,unknown,no,yes,no
44865,3.4142732955097252,46.0,management,married,tertiary,no,3462,cellular,23,sep,145,1,779,2,failure,no,no,no
28590,3.414235868972355,45.0,admin.,married,primary,no,-407,cellular,29,jan,503,2,224,18,other,no,yes,yes
38044,3.412396449028248,40.0,blue-collar,married,primary,no,2805,cellular,14,may,173,6,353,23,failure,no,yes,no
3484,3.400740021621089,59.0,management,married,tertiary,no,2319,unknown,15,may,132,32,-1,0,unknown,no,yes,no
8301,3.395566223979762,36.0,management,divorced,tertiary,no,3462,unknown,2,jun,55,25,-1,0,unknown,no,yes,no
44859,3.3747320706851367,31.0,housemaid,married,secondary,no,243,cellular,23,sep,305,2,842,1,failure,yes,yes,no
30190,3.366620843235233,54.0,blue-collar,married,secondary,no,844,telephone,5,feb,8,7,189,18,other,no,no,no
13312,3.3653188040421442,29.0,admin.,single,secondary,no,-37,cellular,8,jul,21,35,-1,0,unknown,no,yes,no
43424,3.3617423095898205,70.5,retired,married,secondary,no,3462,telephone,6,apr,643,1,118,11,success,no,no,no
37152,3.3616916282725136,43.0,management,divorced,tertiary,no,497,cellular,13,may,66,1,363,22,failure,no,no,no
44490,3.361105011337089,31.0,blue-collar,married,secondary,no,0,unknown,10,aug,97,1,782,1,other,yes,yes,no
44699,3.358150986495208,34.0,technician,married,secondary,no,384,cellular,6,sep,127,2,831,1,other,no,yes,no
44830,3.3495387065827043,37.0,management,divorced,tertiary,no,488,cellular,17,sep,328,1,854,2,failure,yes,yes,no
24597,3.3482039616964747,56.0,management,single,primary,no,109,telephone,17,nov,124,1,129,18,other,no,no,yes
44252,3.328139584001291,34.0,management,divorced,tertiary,no,70,unknown,22,jul,5,1,701,6,other,no,yes,no
32611,3.323681830780205,43.0,admin.,married,secondary,no,214,telephone,17,apr,421,2,324,24,failure,no,yes,no
17955,3.3219941497590475,31.0,self-employed,married,tertiary,no,0,cellular,30,jul,643,24,-1,0,unknown,no,yes,no
45038,3.3129102288216945,45.0,management,single,tertiary,no,2048,cellular,18,oct,310,1,804,1,failure,yes,yes,no
43838,3.305677336081256,41.0,entrepreneur,married,tertiary,no,70,unknown,31,may,14,1,557,1,failure,no,no,no
44966,3.3010825322156365,36.0,management,single,tertiary,no,335,unknown,10,oct,5,1,772,4,failure,no,no,no
37237,3.3006597125522084,40.0,self-employed,married,primary,no,2077,cellular,13,may,363,1,173,24,other,no,yes,no
42162,3.2989572340579683,55.0,blue-collar,married,secondary,no,3462,telephone,5,nov,111,9,511,4,other,no,no,no
35145,3.295748885564363,50.0,management,married,tertiary,no,29,cellular,7,may,83,4,266,20,other,no,yes,no
44816,3.2937191470020366,60.0,retired,married,secondary,no,975,cellular,16,sep,303,1,792,1,failure,yes,no,no
44288,3.291939976255244,37.0,technician,married,secondary,no,1707,cellular,26,jul,546,2,784,3,failure,yes,yes,no
30160,3.282222931710341,36.0,student,single,secondary,no,904,telephone,5,feb,36,9,8,13,other,no,no,no
44605,3.28173690163229,30.0,blue-collar,married,primary,no,124,unknown,28,aug,5,1,775,2,other,no,yes,no
36597,3.2704618764532216,31.0,housemaid,married,tertiary,no,2190,telephone,12,may,25,6,258,18,other,no,yes,no
44053,3.2678364184234754,39.0,blue-collar,married,primary,no,1,unknown,1,jul,165,1,745,2,failure,no,yes,no
23063,3.2676955399448513,38.0,management,married,tertiary,no,0,cellular,26,aug,22,38,-1,0,unknown,no,yes,no
18431,3.2659622529790364,31.0,services,married,unknown,no,-82,cellular,31,jul,543,31,-1,0,unknown,no,yes,no
44019,3.26021969778804,67.0,retired,married,primary,no,2391,cellular,28,jun,643,6,186,10,other,yes,no,no
44261,3.2600087069875987,41.0,blue-collar,divorced,secondary,no,663,unknown,22,jul,24,1,792,3,other,no,yes,no
17843,3.2584601822360253,39.0,management,married,tertiary,no,-409,cellular,29,jul,590,23,-1,0,unknown,no,yes,no
27108,3.2566253925745468,45.0,admin.,married,secondary,no,857,cellular,21,nov,169,1,92,20,other,no,yes,no
44338,3.2548900710047652,25.0,services,single,unknown,no,2022,cellular,29,jul,276,8,97,12,other,yes,no,no
44807,3.2548469242768285,70.5,retired,divorced,primary,no,2308,telephone,16,sep,251,2,535,2,success,no,no,no
44786,3.2508309580665076,43.0,blue-collar,married,secondary,no,408,unknown,14,sep,6,1,838,3,other,no,yes,no
41673,3.2506528754793207,59.0,management,married,tertiary,no,3462,cellular,1,oct,67,6,141,13,failure,no,yes,no
45025,3.24727041344064,47.0,admin.,married,secondary,no,1387,cellular,14,oct,158,1,826,1,failure,no,yes,no
42337,3.241887418474947,35.0,technician,married,secondary,no,3462,cellular,17,nov,393,4,201,17,other,yes,yes,no
44841,3.2417247203714754,35.0,management,single,tertiary,no,1120,unknown,21,sep,4,1,771,2,success,no,no,no
34985,3.241041179628979,32.0,management,single,tertiary,no,-248,cellular,6,may,109,1,315,20,other,no,yes,yes
16638,3.2293727533777004,38.0,entrepreneur,married,secondary,no,593,cellular,24,jul,643,24,-1,0,unknown,yes,yes,yes
28261,3.2224925787205754,36.0,management,married,tertiary,no,0,cellular,29,jan,86,1,237,17,other,no,yes,no
43776,3.220930919645932,70.5,retired,married,primary,no,680,telephone,24,may,643,1,89,9,failure,no,no,no
44110,3.22077149058362,70.5,retired,divorced,unknown,no,2628,telephone,8,jul,220,7,450,2,failure,no,no,no
27909,3.2141860809837377,57.0,blue-collar,married,secondary,no,297,telephone,28,jan,120,2,154,16,failure,no,no,yes
31617,3.2139119097286346,54.0,entrepreneur,divorced,unknown,no,3462,telephone,6,apr,475,6,307,5,failure,yes,yes,no
45147,3.21021550413305,49.0,unemployed,divorced,tertiary,no,780,cellular,8,nov,148,1,871,2,failure,no,no,no
44244,3.2062431060747607,41.0,blue-collar,married,primary,no,178,unknown,20,jul,5,1,791,1,failure,no,yes,no
44668,3.191282991656615,48.0,management,married,tertiary,no,1204,cellular,3,sep,116,2,760,1,other,no,no,no
10422,3.1900478142122557,27.0,admin.,single,secondary,no,3462,unknown,12,jun,541,17,-1,0,unknown,yes,yes,no
43984,3.183455838555631,53.0,blue-collar,married,unknown,no,960,unknown,24,jun,180,1,687,2,other,no,no,yes
44101,3.177892494730621,70.0,retired,divorced,secondary,no,3462,cellular,8,jul,173,11,162,5,failure,no,no,no
43965,3.171629909627518,32.0,management,married,tertiary,no,913,cellular,23,jun,643,1,674,4,failure,no,yes,no
31627,3.168874704165659,33.0,technician,single,tertiary,no,127,cellular,6,apr,583,2,222,17,failure,yes,yes,no
44039,3.166832233151895,31.0,management,single,tertiary,no,1539,cellular,30,jun,107,2,756,2,other,no,yes,no
22735,3.1605423138445063,41.0,management,divorced,tertiary,yes,-68,cellular,25,aug,463,22,-1,0,unknown,no,yes,yes
45121,3.1594535696445925,32.0,technician,married,secondary,no,1547,cellular,26,oct,289,1,805,4,other,yes,no,no
30918,3.158295283509199,28.0,technician,single,tertiary,no,3462,cellular,9,feb,253,21,-1,0,unknown,yes,no,no
42567,3.1551318093635765,27.0,services,single,secondary,no,1347,telephone,28,dec,643,1,193,11,success,yes,no,no
18617,3.154095506924196,34.0,management,married,tertiary,no,4,cellular,31,jul,33,39,-1,0,unknown,no,yes,no
44531,3.153601273614867,34.0,blue-collar,married,secondary,no,320,cellular,12,aug,352,1,828,2,failure,yes,yes,no
45172,3.1498935822909986,33.0,admin.,single,secondary,no,690,cellular,10,nov,223,3,555,16,failure,no,no,no
18604,3.1456991791695437,27.0,admin.,single,secondary,yes,1110,cellular,31,jul,25,36,-1,0,unknown,no,yes,yes
18705,3.1385483458535104,44.0,housemaid,married,primary,no,0,telephone,31,jul,21,38,-1,0,unknown,no,no,no
45200,3.1348652673183324,34.0,blue-collar,single,secondary,no,1475,cellular,16,nov,643,3,530,12,other,no,yes,no
13019,3.127931123093855,36.0,blue-collar,single,unknown,yes,-395,telephone,7,jul,9,17,-1,0,unknown,no,yes,no
30837,3.1262200436319487,33.0,management,divorced,tertiary,no,-848,telephone,9,feb,12,12,256,2,other,no,yes,no
8548,3.1213472260351156,43.0,admin.,married,secondary,no,429,unknown,3,jun,35,32,-1,0,unknown,no,yes,yes
30510,3.117381408451297,44.0,management,married,tertiary,no,1451,cellular,5,feb,80,7,80,15,failure,no,yes,no
3665,3.115770742404764,60.0,management,divorced,secondary,no,773,unknown,16,may,597,22,-1,0,unknown,no,yes,yes
9252,3.113950575250142,58.0,admin.,married,secondary,no,1464,unknown,5,jun,53,29,-1,0,unknown,no,yes,yes
28840,3.1043386501774797,36.0,admin.,single,secondary,no,133,cellular,30,jan,632,3,228,14,other,no,no,no
29636,3.1020849784240787,33.0,admin.,single,secondary,no,289,cellular,3,feb,515,3,6,13,other,no,no,no
15870,3.1007686387725326,38.0,admin.,single,tertiary,no,3462,telephone,21,jul,21,31,-1,0,unknown,no,no,no
30134,3.0976783859900165,56.0,management,married,tertiary,no,-762,cellular,4,feb,19,10,7,5,other,no,yes,yes
29482,3.0967864491961064,29.0,services,married,secondary,no,222,cellular,3,feb,197,1,250,23,failure,no,yes,no
32930,3.096065875698853,37.0,management,married,tertiary,no,860,cellular,17,apr,643,2,332,15,failure,no,yes,no
42888,3.093959544796778,35.0,technician,single,tertiary,no,144,cellular,4,feb,202,4,113,20,failure,no,yes,yes
33700,3.091809187001071,70.5,retired,divorced,primary,no,2282,telephone,21,apr,207,17,-1,0,unknown,yes,no,no
40107,3.091464284261116,29.0,admin.,single,tertiary,no,261,cellular,4,jun,66,1,79,19,failure,no,no,no
33545,3.0876746405538236,39.0,self-employed,single,tertiary,no,2298,cellular,20,apr,13,2,319,18,other,no,yes,yes
44918,3.0874579141628162,60.0,admin.,married,secondary,no,3462,cellular,1,oct,131,2,98,12,other,no,yes,no
3530,3.085912312832113,53.0,blue-collar,married,secondary,no,1140,unknown,15,may,241,32,-1,0,unknown,no,yes,no
42379,3.083058648222653,58.0,technician,married,secondary,no,3399,telephone,30,nov,643,2,188,8,success,yes,no,no
9297,3.0805034157842215,34.0,management,single,tertiary,no,125,unknown,5,jun,18,31,-1,0,unknown,no,yes,yes
35492,3.0784543908908533,33.0,technician,divorced,secondary,no,2,cellular,7,may,600,2,330,17,failure,no,yes,no
30792,3.0709015218032754,19.0,student,single,unknown,no,1169,cellular,6,feb,463,18,-1,0,unknown,no,no,no
33859,3.0674731419648062,26.0,management,single,tertiary,no,3462,telephone,29,apr,164,23,-1,0,unknown,no,no,no
38703,3.0646758710905577,33.0,blue-collar,single,primary,no,-104,cellular,15,may,34,10,331,16,other,no,yes,no
44404,3.063084101437762,68.0,retired,married,tertiary,no,2812,cellular,4,aug,643,1,1,7,success,yes,no,no
34377,3.061771016099614,25.0,student,married,tertiary,no,3462,cellular,4,may,78,4,74,14,failure,no,yes,yes
12935,3.059671126565092,37.0,admin.,married,secondary,no,147,cellular,7,jul,25,30,-1,0,unknown,no,yes,no
42268,3.058704893563218,70.5,retired,married,primary,no,2590,telephone,13,nov,212,3,277,12,failure,yes,no,no
26907,3.054676011950751,44.0,services,single,secondary,no,3462,cellular,21,nov,20,6,175,15,other,no,yes,no
44121,3.048889336859424,50.0,unknown,married,unknown,no,558,cellular,9,jul,464,1,683,6,failure,yes,no,no
41801,3.0450746828590116,34.0,technician,single,tertiary,no,144,cellular,14,oct,104,1,85,19,failure,no,yes,yes
31728,3.0430105098401317,35.0,management,single,tertiary,no,714,cellular,7,apr,263,2,224,22,failure,no,yes,no
44905,3.0411495516013485,48.0,management,single,tertiary,no,334,cellular,28,sep,600,2,92,12,success,yes,yes,no
44350,3.0376120530952355,45.0,management,single,tertiary,no,3462,cellular,30,jul,643,3,182,11,success,yes,no,no
44584,3.037611082891025,24.0,student,single,secondary,no,431,cellular,19,aug,418,11,185,5,success,yes,no,no
23753,3.035917070547943,31.0,technician,single,secondary,no,3462,telephone,28,aug,64,27,-1,0,unknown,no,no,no
44219,3.0356989255058484,42.0,management,divorced,tertiary,no,3462,cellular,16,jul,100,6,84,14,success,no,no,no
